veh_value,exposure,clm,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat,severity,frequincy
1.44,0.0301163587,0,0,0.0,HBACK,2,F,C,1,0.0,0.0
1.349,0.462696783,0,0,0.0,HBACK,1,F,C,5,0.0,0.0
1.39,0.3175906913,0,0,0.0,HBACK,3,F,C,2,0.0,0.0
1.0,0.2874743326,0,0,0.0,STNWG,4,M,C,3,0.0,0.0
1.51,0.0684462697,0,0,0.0,HBACK,2,F,C,2,0.0,0.0
4.45,0.5941136208,0,0,0.0,STNWG,1,F,C,3,0.0,0.0
2.17,0.5366187543,0,0,0.0,SEDAN,2,F,A,4,0.0,0.0
0.87,0.8542094456,0,0,0.0,HBACK,3,M,D,3,0.0,0.0
4.09,0.848733744,0,0,0.0,UTE,1,M,A,2,0.0,0.0
1.31,0.4052019165,0,0,0.0,HBACK,2,M,C,1,0.0,0.0
1.9,0.8542094456,0,0,0.0,SEDAN,1,F,A,4,0.0,0.0
2.42,0.5776865161,0,0,0.0,SEDAN,1,F,A,4,0.0,0.0
1.05,0.4216290212,0,0,0.0,HDTOP,4,F,C,6,0.0,0.0
1.42,0.5941136208,0,0,0.0,TRUCK,3,M,D,4,0.0,0.0
3.0,0.8542094456,0,0,0.0,STNWG,3,M,B,3,0.0,0.0
1.89,0.6543463381,1,2,1811.7099972,STNWG,3,M,F,2,906.0,3.06
2.61,0.2518822724,0,0,0.0,STNWG,2,M,B,4,0.0,0.0
0.93,0.5366187543,0,0,0.0,COUPE,4,F,A,4,0.0,0.0
1.49,0.4052019165,0,0,0.0,HBACK,2,F,C,2,0.0,0.0
3.1,0.462696783,0,0,0.0,HDTOP,1,F,C,3,0.0,0.0
1.94,0.5366187543,0,0,0.0,SEDAN,1,M,A,6,0.0,0.0
2.234,0.8542094456,0,0,0.0,SEDAN,1,M,C,2,0.0,0.0
1.62,0.8542094456,0,0,0.0,SEDAN,2,F,B,4,0.0,0.0
2.14,0.5366187543,0,0,0.0,HDTOP,3,M,D,4,0.0,0.0
1.77,0.2491444216,0,0,0.0,HBACK,2,F,E,1,0.0,0.0
4.03,0.462696783,0,0,0.0,STNWG,1,M,F,2,0.0,0.0
2.65,0.0958247775,0,0,0.0,SEDAN,1,F,C,3,0.0,0.0
1.13,0.3039014374,0,0,0.0,STNWG,4,M,A,1,0.0,0.0
1.53,0.1697467488,0,0,0.0,SEDAN,3,F,D,3,0.0,0.0
1.05,0.9062286105,0,0,0.0,HBACK,2,F,F,3,0.0,0.0
0.88,0.5366187543,0,0,0.0,COUPE,4,M,B,4,0.0,0.0
2.9,0.8542094456,0,0,0.0,STNWG,3,M,B,5,0.0,0.0
2.67,0.5366187543,0,0,0.0,HBACK,1,F,A,2,0.0,0.0
0.83,0.3449691992,0,0,0.0,SEDAN,4,M,C,5,0.0,0.0
0.7,0.2491444216,0,0,0.0,SEDAN,4,F,C,1,0.0,0.0
1.15,0.9062286105,0,0,0.0,STNWG,3,F,A,3,0.0,0.0
0.99,0.3175906913,0,0,0.0,HBACK,3,F,B,3,0.0,0.0
1.75,0.9719370294,0,0,0.0,SEDAN,2,F,B,2,0.0,0.0
2.65,0.0958247775,0,0,0.0,SEDAN,1,F,C,3,0.0,0.0
4.06,0.8514715948,1,1,5434.4399872,STNWG,2,M,F,3,5434.0,1.17
1.39,0.3175906913,1,1,865.78999901,HBACK,3,F,A,4,866.0,3.15
1.19,0.9062286105,0,0,0.0,HBACK,2,F,B,5,0.0,0.0
1.19,0.9062286105,0,0,0.0,HBACK,2,F,A,1,0.0,0.0
0.79,0.3531827515,0,0,0.0,HBACK,3,F,B,2,0.0,0.0
1.74,0.8542094456,0,0,0.0,HBACK,2,F,C,3,0.0,0.0
0.77,0.0930869268,0,0,0.0,COUPE,4,M,C,2,0.0,0.0
2.58,0.0301163587,0,0,0.0,HBACK,2,M,A,5,0.0,0.0
0.79,0.0301163587,0,0,0.0,SEDAN,3,F,E,3,0.0,0.0
1.79,0.6735112936,0,0,0.0,UTE,4,F,E,3,0.0,0.0
1.79,0.0465434634,0,0,0.0,HBACK,1,M,C,6,0.0,0.0
1.9,0.8542094456,0,0,0.0,HBACK,1,M,C,1,0.0,0.0
1.84,0.0958247775,0,0,0.0,STNWG,4,M,A,3,0.0,0.0
0.39,0.0301163587,0,0,0.0,HBACK,4,F,B,4,0.0,0.0
5.39,0.0246406571,0,0,0.0,STNWG,2,M,A,5,0.0,0.0
1.43,0.0301163587,0,0,0.0,SEDAN,2,F,B,4,0.0,0.0
2.33,0.2299794661,0,0,0.0,MIBUS,3,F,C,3,0.0,0.0
3.68,0.34770705,0,0,0.0,UTE,1,F,E,2,0.0,0.0
3.43,0.3175906913,0,0,0.0,STNWG,2,F,D,2,0.0,0.0
1.13,0.2299794661,0,0,0.0,SEDAN,3,M,A,3,0.0,0.0
2.65,0.3175906913,0,0,0.0,HDTOP,3,M,F,5,0.0,0.0
1.98,0.2299794661,0,0,0.0,UTE,3,M,A,2,0.0,0.0
0.68,0.2491444216,0,0,0.0,HBACK,3,F,E,3,0.0,0.0
1.15,0.6652977413,0,0,0.0,SEDAN,3,M,C,4,0.0,0.0
3.19,0.9993155373,0,0,0.0,HDTOP,3,M,F,4,0.0,0.0
1.14,0.3449691992,0,0,0.0,SEDAN,3,M,C,4,0.0,0.0
1.43,0.219028063,0,0,0.0,SEDAN,2,F,C,4,0.0,0.0
1.22,0.7775496235,0,0,0.0,HDTOP,4,F,D,2,0.0,0.0
1.75,0.2436687201,0,0,0.0,SEDAN,2,M,A,4,0.0,0.0
0.38,0.7501711157,0,0,0.0,HBACK,4,F,A,2,0.0,0.0
4.7,0.2327173169,0,0,0.0,STNWG,2,M,D,2,0.0,0.0
2.66,0.3175906913,1,1,1105.7699986,STNWG,1,F,F,5,1106.0,3.15
1.59,0.2299794661,0,0,0.0,SEDAN,1,F,A,1,0.0,0.0
0.54,0.0273785079,0,0,0.0,SEDAN,4,M,A,4,0.0,0.0
0.5,0.0711841205,1,1,200.0,HBACK,4,F,A,5,200.0,14.05
1.3,0.2299794661,0,0,0.0,HBACK,2,F,B,1,0.0,0.0
1.41,0.0273785079,0,0,0.0,HBACK,2,F,C,4,0.0,0.0
1.75,0.3175906913,0,0,0.0,HBACK,2,F,B,4,0.0,0.0
2.29,0.0301163587,0,0,0.0,UTE,2,M,C,2,0.0,0.0
4.64,0.2217659138,0,0,0.0,STNWG,1,F,D,3,0.0,0.0
0.8,0.2765229295,0,0,0.0,HBACK,3,M,C,6,0.0,0.0
3.55,0.8514715948,0,0,0.0,STNWG,2,F,C,3,0.0,0.0
1.75,0.3175906913,0,0,0.0,HBACK,2,M,A,3,0.0,0.0
1.48,0.6954140999,0,0,0.0,HBACK,2,F,B,2,0.0,0.0
1.22,0.3942505133,0,0,0.0,HBACK,3,M,C,3,0.0,0.0
3.14,0.3066392882,0,0,0.0,UTE,2,F,A,2,0.0,0.0
1.51,0.3175906913,0,0,0.0,STNWG,4,M,A,4,0.0,0.0
1.65,0.7227926078,0,0,0.0,SEDAN,3,M,C,4,0.0,0.0
1.64,0.3175906913,0,0,0.0,UTE,2,M,C,4,0.0,0.0
2.17,0.3449691992,0,0,0.0,STNWG,3,F,F,5,0.0,0.0
1.31,0.3175906913,0,0,0.0,HBACK,2,M,B,2,0.0,0.0
1.16,0.5968514716,1,2,739.22999954,STNWG,4,F,B,2,370.0,3.35
0.77,0.8788501027,0,0,0.0,SEDAN,4,F,C,5,0.0,0.0
0.43,0.3175906913,0,0,0.0,HBACK,4,F,B,3,0.0,0.0
4.98,0.7227926078,0,0,0.0,STNWG,1,M,F,5,0.0,0.0
1.72,0.9062286105,0,0,0.0,SEDAN,2,F,D,6,0.0,0.0
2.47,0.6707734428,0,0,0.0,HDTOP,3,M,D,2,0.0,0.0
4.17,0.7227926078,0,0,0.0,STNWG,2,F,C,2,0.0,0.0
1.13,0.2299794661,0,0,0.0,SEDAN,3,M,B,6,0.0,0.0
0.67,0.0273785079,0,0,0.0,HBACK,4,F,A,5,0.0,0.0
3.56,0.9062286105,1,1,3230.5999985,MCARA,3,M,F,4,3231.0,1.1
2.56,0.3175906913,0,0,0.0,STNWG,2,F,A,3,0.0,0.0
1.36,0.2299794661,0,0,0.0,HBACK,1,F,C,5,0.0,0.0
3.999,0.9993155373,0,0,0.0,SEDAN,1,M,C,1,0.0,0.0
1.64,0.090349076,0,0,0.0,HBACK,2,F,A,4,0.0,0.0
2.15,0.6543463381,1,1,200.0,SEDAN,3,F,A,5,200.0,1.53
0.89,0.2299794661,0,0,0.0,HBACK,3,M,C,2,0.0,0.0
3.03,0.9034907598,1,1,200.0,TRUCK,1,M,C,1,200.0,1.11
2.41,0.3394934976,1,1,407.83999968,STNWG,3,M,E,1,408.0,2.95
0.73,0.7693360712,0,0,0.0,SEDAN,4,M,E,5,0.0,0.0
0.82,0.462696783,0,0,0.0,HDTOP,4,F,F,1,0.0,0.0
1.39,0.0930869268,0,0,0.0,SEDAN,3,M,A,2,0.0,0.0
2.54,0.3449691992,0,0,0.0,HDTOP,3,M,C,5,0.0,0.0
0.76,0.3449691992,0,0,0.0,SEDAN,4,M,D,3,0.0,0.0
0.41,0.2299794661,0,0,0.0,HBACK,4,M,A,5,0.0,0.0
3.599,0.5831622177,0,0,0.0,STNWG,1,F,B,3,0.0,0.0
1.98,0.3066392882,0,0,0.0,SEDAN,3,F,A,3,0.0,0.0
0.76,0.2299794661,0,0,0.0,SEDAN,4,F,A,3,0.0,0.0
0.53,0.2299794661,0,0,0.0,HBACK,4,F,B,3,0.0,0.0
1.86,0.3449691992,0,0,0.0,STNWG,2,F,B,4,0.0,0.0
0.22,0.2929500342,0,0,0.0,HBACK,4,M,C,6,0.0,0.0
1.65,0.7227926078,0,0,0.0,SEDAN,3,F,F,3,0.0,0.0
1.33,0.2245037645,0,0,0.0,HBACK,3,F,A,6,0.0,0.0
0.85,0.3066392882,0,0,0.0,HBACK,3,F,A,3,0.0,0.0
1.97,0.6160164271,0,0,0.0,STNWG,3,M,D,5,0.0,0.0
1.15,0.0191649555,0,0,0.0,HBACK,4,F,A,4,0.0,0.0
2.65,0.2902121834,0,0,0.0,SEDAN,1,M,A,5,0.0,0.0
0.45,0.6160164271,0,0,0.0,HBACK,4,F,B,6,0.0,0.0
0.45,0.6160164271,0,0,0.0,HBACK,4,F,A,6,0.0,0.0
0.67,0.6160164271,0,0,0.0,SEDAN,4,F,D,5,0.0,0.0
1.3,0.6488706365,0,0,0.0,HBACK,2,F,C,5,0.0,0.0
0.59,0.6160164271,0,0,0.0,COUPE,4,F,A,4,0.0,0.0
1.55,0.6160164271,0,0,0.0,SEDAN,2,F,E,5,0.0,0.0
1.56,0.2464065708,0,0,0.0,SEDAN,1,F,D,5,0.0,0.0
0.41,0.6160164271,0,0,0.0,SEDAN,4,F,A,5,0.0,0.0
1.72,0.6461327858,0,0,0.0,SEDAN,2,F,B,6,0.0,0.0
0.44,0.6160164271,0,0,0.0,SEDAN,4,M,D,6,0.0,0.0
2.58,0.6160164271,0,0,0.0,STNWG,3,M,D,6,0.0,0.0
1.84,0.2299794661,0,0,0.0,PANVN,1,M,C,3,0.0,0.0
0.22,0.6160164271,0,0,0.0,HBACK,4,F,B,5,0.0,0.0
1.72,0.6160164271,1,1,1619.829998,STNWG,2,F,A,6,1620.0,1.62
3.05,0.2299794661,0,0,0.0,STNWG,2,F,F,2,0.0,0.0
1.85,0.3367556468,0,0,0.0,SEDAN,1,F,D,5,0.0,0.0
3.21,0.6160164271,0,0,0.0,STNWG,1,M,B,4,0.0,0.0
0.89,0.6160164271,0,0,0.0,STNWG,4,M,C,6,0.0,0.0
1.98,0.3832991102,0,0,0.0,SEDAN,2,M,A,2,0.0,0.0
0.52,0.3832991102,0,0,0.0,SEDAN,4,F,A,6,0.0,0.0
1.92,0.6160164271,1,1,1010.9199982,STNWG,4,M,A,5,1011.0,1.62
1.15,0.6160164271,0,0,0.0,HBACK,3,F,C,2,0.0,0.0
0.5,0.6160164271,0,0,0.0,STNWG,4,F,C,3,0.0,0.0
6.54,0.2299794661,0,0,0.0,STNWG,1,F,D,4,0.0,0.0
5.14,0.6160164271,0,0,0.0,STNWG,1,M,B,6,0.0,0.0
0.67,0.6160164271,0,0,0.0,SEDAN,4,F,C,4,0.0,0.0
1.39,0.3832991102,0,0,0.0,SEDAN,3,M,C,2,0.0,0.0
4.65,0.3832991102,0,0,0.0,STNWG,1,F,E,3,0.0,0.0
1.43,0.3832991102,0,0,0.0,SEDAN,3,F,D,2,0.0,0.0
0.43,0.3832991102,0,0,0.0,SEDAN,4,F,C,2,0.0,0.0
1.02,0.6187542779,0,0,0.0,SEDAN,3,F,B,5,0.0,0.0
1.51,0.1752224504,0,0,0.0,SEDAN,3,F,B,2,0.0,0.0
2.649,0.257357974,1,1,9424.3499756,TRUCK,1,M,A,1,9424.0,3.89
1.31,0.6160164271,0,0,0.0,STNWG,4,M,D,3,0.0,0.0
2.48,0.424366872,0,0,0.0,STNWG,3,M,C,1,0.0,0.0
1.74,0.257357974,0,0,0.0,SEDAN,2,F,A,2,0.0,0.0
1.62,0.0930869268,0,0,0.0,STNWG,4,F,F,3,0.0,0.0
5.43,0.6160164271,0,0,0.0,STNWG,1,F,C,3,0.0,0.0
0.65,0.6160164271,0,0,0.0,SEDAN,4,M,A,4,0.0,0.0
0.35,0.6160164271,0,0,0.0,SEDAN,4,M,E,5,0.0,0.0
3.73,0.6160164271,0,0,0.0,STNWG,2,M,A,5,0.0,0.0
1.61,0.3449691992,0,0,0.0,SEDAN,2,F,C,4,0.0,0.0
0.82,0.6160164271,0,0,0.0,HBACK,4,F,A,6,0.0,0.0
1.33,0.6160164271,0,0,0.0,TRUCK,4,M,F,1,0.0,0.0
0.78,0.3422313484,0,0,0.0,HBACK,3,F,C,4,0.0,0.0
3.98,0.6160164271,0,0,0.0,STNWG,2,F,C,2,0.0,0.0
0.95,0.6160164271,0,0,0.0,HDTOP,4,M,A,6,0.0,0.0
1.14,0.3832991102,0,0,0.0,SEDAN,4,F,B,3,0.0,0.0
0.53,0.6160164271,0,0,0.0,SEDAN,4,F,D,5,0.0,0.0
1.5,0.6160164271,0,0,0.0,STNWG,4,M,A,3,0.0,0.0
1.76,0.6160164271,0,0,0.0,STNWG,2,M,C,3,0.0,0.0
1.0,0.3148528405,0,0,0.0,HBACK,2,M,B,4,0.0,0.0
1.22,0.6160164271,0,0,0.0,HBACK,3,M,A,4,0.0,0.0
2.82,0.3832991102,0,0,0.0,STNWG,3,F,C,3,0.0,0.0
2.13,0.900752909,0,0,0.0,HDTOP,2,F,A,2,0.0,0.0
1.01,0.2847364819,0,0,0.0,STNWG,4,M,B,6,0.0,0.0
1.84,0.6160164271,0,0,0.0,SEDAN,2,F,A,6,0.0,0.0
3.11,0.3832991102,0,0,0.0,TRUCK,3,M,C,3,0.0,0.0
0.39,0.6160164271,0,0,0.0,SEDAN,4,M,A,4,0.0,0.0
1.01,0.0930869268,0,0,0.0,HBACK,3,F,E,1,0.0,0.0
2.58,0.6160164271,0,0,0.0,STNWG,3,M,C,5,0.0,0.0
0.51,0.6160164271,0,0,0.0,SEDAN,4,F,A,4,0.0,0.0
1.02,0.6160164271,0,0,0.0,SEDAN,3,F,C,6,0.0,0.0
1.63,0.6461327858,0,0,0.0,HBACK,2,F,C,5,0.0,0.0
0.84,0.6160164271,0,0,0.0,HBACK,3,F,C,4,0.0,0.0
2.34,0.6160164271,0,0,0.0,HBACK,3,M,C,5,0.0,0.0
1.86,0.6160164271,1,1,238.64000034,SEDAN,2,F,C,3,239.0,1.62
7.2,0.6160164271,0,0,0.0,SEDAN,3,F,D,6,0.0,0.0
0.46,0.6160164271,0,0,0.0,STNWG,4,F,A,4,0.0,0.0
1.66,0.9034907598,0,0,0.0,STNWG,3,F,A,3,0.0,0.0
3.71,0.7665982204,0,0,0.0,STNWG,1,F,C,3,0.0,0.0
1.62,0.6160164271,0,0,0.0,STNWG,4,F,F,3,0.0,0.0
0.58,0.6160164271,0,0,0.0,COUPE,4,F,B,4,0.0,0.0
3.06,0.6160164271,0,0,0.0,STNWG,3,F,F,4,0.0,0.0
1.17,0.7693360712,0,0,0.0,SEDAN,3,F,D,1,0.0,0.0
0.98,0.6160164271,0,0,0.0,SEDAN,3,F,B,3,0.0,0.0
1.02,0.6160164271,0,0,0.0,HBACK,4,F,B,2,0.0,0.0
1.4,0.6160164271,0,0,0.0,SEDAN,3,F,A,4,0.0,0.0
2.97,0.0985626283,0,0,0.0,STNWG,1,M,F,4,0.0,0.0
1.78,0.6187542779,0,0,0.0,SEDAN,2,F,C,2,0.0,0.0
0.41,0.3449691992,0,0,0.0,HBACK,4,F,B,3,0.0,0.0
2.74,0.9418206708,0,0,0.0,STNWG,2,M,C,3,0.0,0.0
5.299,0.3832991102,0,0,0.0,STNWG,1,F,D,3,0.0,0.0
1.42,0.2546201232,0,0,0.0,HBACK,1,M,C,3,0.0,0.0
2.01,0.6160164271,0,0,0.0,HDTOP,3,M,E,5,0.0,0.0
1.54,0.6160164271,1,1,200.0,STNWG,2,F,B,3,200.0,1.62
4.0,0.6160164271,0,0,0.0,STNWG,2,F,A,4,0.0,0.0
1.3,0.6461327858,0,0,0.0,HBACK,2,M,C,4,0.0,0.0
1.34,0.1724845996,0,0,0.0,HBACK,2,F,B,3,0.0,0.0
1.67,0.3832991102,0,0,0.0,STNWG,2,F,E,5,0.0,0.0
1.88,0.7501711157,1,1,369.17999983,PANVN,3,M,D,3,369.0,1.33
1.03,0.3449691992,0,0,0.0,HBACK,3,F,D,4,0.0,0.0
1.43,0.2299794661,0,0,0.0,TRUCK,4,M,D,1,0.0,0.0
0.89,0.6844626968,1,1,353.76999998,SEDAN,3,F,D,3,354.0,1.46
1.13,0.0930869268,0,0,0.0,STNWG,4,F,B,2,0.0,0.0
1.9,0.1916495551,0,0,0.0,PANVN,3,M,C,5,0.0,0.0
2.11,0.8706365503,0,0,0.0,HBACK,2,F,C,3,0.0,0.0
1.82,0.7501711157,0,0,0.0,UTE,1,M,D,4,0.0,0.0
0.0,0.9993155373,0,0,0.0,BUS,3,M,F,5,0.0,0.0
3.03,0.7529089665,0,0,0.0,STNWG,1,M,D,3,0.0,0.0
3.7,0.4161533196,0,0,0.0,STNWG,3,M,C,1,0.0,0.0
2.22,0.3915126626,0,0,0.0,HDTOP,3,F,C,2,0.0,0.0
2.15,0.6461327858,0,0,0.0,SEDAN,3,F,A,4,0.0,0.0
0.58,0.6461327858,0,0,0.0,HBACK,4,M,A,3,0.0,0.0
1.53,0.6269678302,0,0,0.0,STNWG,4,M,A,4,0.0,0.0
1.55,0.6461327858,0,0,0.0,HBACK,2,F,C,2,0.0,0.0
1.12,0.6461327858,0,0,0.0,STNWG,4,M,A,3,0.0,0.0
0.48,0.925393566,0,0,0.0,HBACK,4,F,A,6,0.0,0.0
1.67,0.0930869268,0,0,0.0,TRUCK,1,M,B,2,0.0,0.0
1.02,0.643394935,0,0,0.0,HBACK,3,M,C,4,0.0,0.0
1.64,0.2491444216,0,0,0.0,STNWG,4,M,C,3,0.0,0.0
2.01,0.5557837098,0,0,0.0,TRUCK,3,M,F,5,0.0,0.0
0.85,0.925393566,0,0,0.0,HBACK,3,F,B,4,0.0,0.0
1.42,0.6461327858,0,0,0.0,HBACK,1,F,C,6,0.0,0.0
2.75,0.2491444216,0,0,0.0,STNWG,3,F,B,3,0.0,0.0
1.66,0.128678987,0,0,0.0,SEDAN,2,M,F,3,0.0,0.0
1.66,0.2299794661,0,0,0.0,SEDAN,3,M,C,5,0.0,0.0
1.18,0.219028063,0,0,0.0,STNWG,4,F,B,3,0.0,0.0
0.95,0.7173169062,0,0,0.0,SEDAN,4,F,C,6,0.0,0.0
1.77,0.643394935,0,0,0.0,SEDAN,2,M,C,4,0.0,0.0
1.3,0.720054757,0,0,0.0,HBACK,1,F,B,3,0.0,0.0
0.65,0.7857631759,0,0,0.0,MIBUS,4,F,B,5,0.0,0.0
0.73,0.9062286105,0,0,0.0,SEDAN,4,M,C,6,0.0,0.0
1.12,0.5037645448,0,0,0.0,HBACK,2,F,B,1,0.0,0.0
0.98,0.2299794661,0,0,0.0,HBACK,3,F,E,6,0.0,0.0
1.399,0.7693360712,0,0,0.0,HBACK,1,F,B,5,0.0,0.0
1.31,0.1998631075,0,0,0.0,UTE,4,M,C,5,0.0,0.0
1.76,0.2299794661,0,0,0.0,SEDAN,1,F,E,1,0.0,0.0
1.42,0.900752909,0,0,0.0,HBACK,1,F,C,3,0.0,0.0
0.41,0.2299794661,0,0,0.0,SEDAN,4,F,E,2,0.0,0.0
4.0,0.2299794661,0,0,0.0,STNWG,2,M,C,3,0.0,0.0
1.19,0.0930869268,0,0,0.0,UTE,4,M,B,4,0.0,0.0
0.47,0.7501711157,0,0,0.0,HBACK,4,F,C,1,0.0,0.0
2.01,0.0273785079,0,0,0.0,UTE,3,F,F,3,0.0,0.0
1.55,0.9062286105,0,0,0.0,HDTOP,4,M,D,1,0.0,0.0
1.45,0.1998631075,0,0,0.0,SEDAN,2,F,D,2,0.0,0.0
1.2,0.0930869268,0,0,0.0,HBACK,2,M,C,1,0.0,0.0
1.03,0.2299794661,0,0,0.0,STNWG,3,F,A,1,0.0,0.0
1.89,0.8514715948,0,0,0.0,STNWG,2,F,A,6,0.0,0.0
2.0,0.3011635866,0,0,0.0,SEDAN,1,M,B,4,0.0,0.0
1.73,0.2491444216,0,0,0.0,SEDAN,2,M,F,3,0.0,0.0
1.07,0.2299794661,0,0,0.0,SEDAN,3,F,D,2,0.0,0.0
2.72,0.2491444216,0,0,0.0,SEDAN,1,F,A,3,0.0,0.0
3.22,0.8514715948,0,0,0.0,UTE,1,M,C,3,0.0,0.0
0.45,0.2354551677,0,0,0.0,COUPE,4,F,E,4,0.0,0.0
0.48,0.052019165,0,0,0.0,SEDAN,4,F,C,6,0.0,0.0
1.22,0.605065024,0,0,0.0,HBACK,3,M,C,4,0.0,0.0
3.19,0.9993155373,0,0,0.0,HBACK,2,F,A,4,0.0,0.0
2.79,0.3778234086,0,0,0.0,SEDAN,1,F,C,2,0.0,0.0
0.9,0.8514715948,0,0,0.0,SEDAN,4,M,A,2,0.0,0.0
6.1,0.2491444216,0,0,0.0,SEDAN,1,M,C,5,0.0,0.0
4.46,0.1916495551,1,1,989.91999817,COUPE,2,M,B,2,990.0,5.22
4.56,0.6488706365,0,0,0.0,MIBUS,2,M,C,3,0.0,0.0
1.48,0.1998631075,0,0,0.0,HBACK,1,F,C,5,0.0,0.0
2.33,0.8514715948,0,0,0.0,SEDAN,2,M,C,5,0.0,0.0
2.67,0.2491444216,0,0,0.0,STNWG,3,F,D,4,0.0,0.0
1.59,0.0273785079,0,0,0.0,SEDAN,2,F,A,3,0.0,0.0
4.32,0.6461327858,1,1,736.84999847,STNWG,2,M,A,5,737.0,1.55
1.05,0.5393566051,0,0,0.0,HBACK,2,M,C,3,0.0,0.0
1.06,0.925393566,0,0,0.0,STNWG,3,M,E,4,0.0,0.0
6.07,0.2491444216,0,0,0.0,STNWG,1,M,E,3,0.0,0.0
5.59,0.8514715948,1,1,369.14999962,STNWG,1,M,C,3,369.0,1.17
1.44,0.6652977413,1,1,500.0,UTE,4,M,F,2,500.0,1.5
1.41,0.0739219713,0,0,0.0,HBACK,2,F,C,6,0.0,0.0
0.47,0.1998631075,0,0,0.0,SEDAN,4,M,A,3,0.0,0.0
1.84,0.3531827515,0,0,0.0,STNWG,4,F,B,4,0.0,0.0
2.81,0.8514715948,1,1,353.76999998,STNWG,1,M,C,3,354.0,1.17
2.55,0.2491444216,0,0,0.0,SEDAN,1,F,C,5,0.0,0.0
3.01,0.848733744,0,0,0.0,STNWG,2,M,E,4,0.0,0.0
1.6,0.2491444216,0,0,0.0,HBACK,2,F,D,4,0.0,0.0
1.59,0.772073922,0,0,0.0,PANVN,3,F,D,5,0.0,0.0
2.01,0.6461327858,0,0,0.0,HDTOP,3,F,D,2,0.0,0.0
1.43,0.6461327858,0,0,0.0,STNWG,4,F,D,6,0.0,0.0
0.73,0.4024640657,0,0,0.0,SEDAN,4,F,B,3,0.0,0.0
0.79,0.2354551677,0,0,0.0,SEDAN,4,F,C,4,0.0,0.0
1.49,0.3531827515,0,0,0.0,HBACK,2,F,C,4,0.0,0.0
0.67,0.925393566,0,0,0.0,SEDAN,4,M,C,5,0.0,0.0
1.23,0.772073922,0,0,0.0,HBACK,2,F,A,2,0.0,0.0
1.67,0.0273785079,0,0,0.0,SEDAN,2,F,E,6,0.0,0.0
1.26,0.3559206023,0,0,0.0,HBACK,3,F,C,1,0.0,0.0
3.75,0.6461327858,0,0,0.0,STNWG,2,F,E,3,0.0,0.0
0.34,0.643394935,0,0,0.0,SEDAN,4,F,D,4,0.0,0.0
1.61,0.3531827515,0,0,0.0,HBACK,2,M,B,3,0.0,0.0
1.41,0.9993155373,0,0,0.0,SEDAN,2,F,A,2,0.0,0.0
2.95,0.2491444216,0,0,0.0,STNWG,1,F,D,6,0.0,0.0
1.578,0.8514715948,0,0,0.0,HBACK,1,M,A,4,0.0,0.0
1.12,0.2217659138,0,0,0.0,HBACK,2,F,B,3,0.0,0.0
1.36,0.0273785079,0,0,0.0,SEDAN,2,F,C,4,0.0,0.0
0.92,0.2491444216,0,0,0.0,HBACK,3,F,C,2,0.0,0.0
0.73,0.8514715948,0,0,0.0,HBACK,3,F,C,1,0.0,0.0
1.22,0.9993155373,0,0,0.0,HBACK,3,F,E,6,0.0,0.0
5.65,0.1040383299,0,0,0.0,STNWG,1,M,C,3,0.0,0.0
3.0,0.6132785763,1,1,6372.0299988,STNWG,3,F,C,2,6372.0,1.63
